time_s,bean_mv,air_mv
0.517934,2001.687144,2028.784442
1.017526,2002.875920,2029.608136
1.517358,2004.064854,2030.420934
2.024714,2005.271053,2031.234271
2.518361,2006.443845,2032.014186
3.017657,2007.629038,2032.791406
3.516879,2008.812832,2033.556699
4.020185,2010.004863,2034.316162
4.513123,2011.170734,2035.048087
5.039449,2012.413597,2035.816455
5.528235,2013.565785,2036.517750
6.037183,2014.763216,2037.235289
6.542221,2015.948937,2037.934399
7.045204,2017.127139,2038.617754
7.566342,2018.344819,2039.312061
8.089071,2019.562869,2039.994336
8.580253,2020.704153,2040.622407
9.086745,2021.877502,2041.256721
9.592452,2023.045274,2041.876437
10.092227,2024.195459,2042.475411
10.602045,2025.364568,2043.072514
11.091379,2026.482531,2043.632317
11.615613,2027.675485,2044.217478
12.120059,2028.818572,2044.766224
12.610941,2029.926175,2045.286631
13.119844,2031.069299,2045.811905
13.609483,2032.164024,2046.303529
14.115322,2033.289495,2046.797152
14.618395,2034.403101,2047.273612
15.108276,2035.481846,2047.723635
15.630194,2036.624796,2048.187871
16.133966,2037.721607,2048.620995
16.624235,2038.782798,2049.028318
17.125153,2039.860513,2049.429958
17.636341,2040.953337,2049.824622
18.139215,2042.021312,2050.197805
18.648767,2043.096118,2050.560640
19.140310,2044.125751,2050.895994
19.642286,2045.169771,2051.223553
20.148326,2046.214428,2051.538453
20.640433,2047.222619,2051.829886
21.142680,2048.243579,2052.112230
21.644883,2049.256190,2052.379255
22.148755,2050.263688,2052.631752
22.651494,2051.260283,2052.868247
23.155917,2052.251370,2053.089998
23.666020,2053.244431,2053.298382
24.176056,2054.227947,2053.490752
24.682944,2055.195896,2053.666062
25.175427,2056.127106,2053.821206
25.695170,2057.099819,2053.968677
26.188095,2058.012656,2054.093088
26.694921,2058.941240,2054.205299
27.187265,2059.833432,2054.299037
27.711024,2060.771718,2054.382220
28.232549,2061.694736,2054.448096
28.739087,2062.580302,2054.495873
29.242874,2063.450222,2054.527542
29.748470,2064.312249,2054.543429
30.273270,2065.195181,2054.543074
30.772598,2066.023916,2054.526805
31.270757,2066.839546,2054.495096
31.777493,2067.657634,2054.446987
32.284581,2068.464451,2054.382846
32.773065,2069.230335,2054.305934
33.270865,2069.999252,2054.212300
33.770156,2070.758607,2054.102933
34.280921,2071.522983,2053.975059
34.802355,2072.290217,2053.827852
35.312834,2073.028363,2053.667456
35.825547,2073.756694,2053.490173
36.333879,2074.465763,2053.298422
36.846826,2075.167983,2053.088834
37.353988,2075.849037,2052.865751
37.860015,2076.515321,2052.627489
38.370286,2077.173675,2052.371415
38.860857,2077.793706,2052.110295
39.367679,2078.420876,2051.825200
39.859416,2079.016263,2051.533751
40.361296,2079.610503,2051.221269
40.868103,2080.196710,2050.890376
41.365173,2080.758019,2050.550919
41.876390,2081.321118,2050.186449
42.373091,2081.854354,2049.817479
42.880879,2082.385264,2049.425209
43.374964,2082.887950,2049.028972
43.890231,2083.397493,2048.600529
44.400842,2083.887543,2048.160706
44.907207,2084.358794,2047.709624
45.404551,2084.807298,2047.252194
45.905565,2085.244652,2046.777058
46.416934,2085.676002,2046.277351
46.924336,2086.088910,2045.766881
47.429794,2086.485211,2045.243958
47.922127,2086.856740,2044.720874
48.449273,2087.238626,2044.145872
48.942276,2087.580821,2043.594235
49.438502,2087.910596,2043.025541
49.937435,2088.227290,2042.440237
50.436762,2088.529242,2041.841009
50.943743,2088.820422,2041.218923
51.440971,2089.090881,2040.595530
51.946770,2089.350592,2039.948011
52.454269,2089.595510,2039.284868
52.953362,2089.821024,2038.619684
53.463916,2090.035931,2037.925980
53.964211,2090.230994,2037.233341
54.454391,2090.407177,2036.542459
54.959870,2090.573344,2035.817441
55.453019,2090.720249,2035.097925
55.952964,2090.853820,2034.356336
56.468736,2090.975391,2033.578575
56.979554,2091.079527,2032.795715
57.469265,2091.164143,2032.033589
57.967880,2091.234979,2031.246056
58.475472,2091.291202,2030.432511
58.967659,2091.330400,2029.632392
